

Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
01/27/2026,"YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER FIDELITY EMERGING MARKETS INDEX FUND (FPADX) (Cash)",FPADX,"FIDELITY EMERGING MARKETS INDEX FUND",Cash,15,69.484,,,,-1042.26,0.00,01/28/2026
01/26/2026,"YOU SOLD CONF:000013894 PIMCO LOW DURATION INCOME FUND CL A (PFIAX) (Cash)",PFIAX,"PIMCO LOW DURATION INCOME FUND CL A",Cash,8.32,-121.609,,,,1011.79,1042.26,01/27/2026
01/02/2026,"REINVESTMENT as of Dec-31-2025 PIMCO LOW DURATION INCOME FUND CL A (PFIAX) (Cash)",PFIAX,"PIMCO LOW DURATION INCOME FUND CL A",Cash,8.31,0.513,,,,-4.26,30.47,
01/02/2026,"DIVIDEND RECEIVED as of Dec-31-2025 PIMCO LOW DURATION INCOME FUND CL A (PFIAX) (Cash)",PFIAX,"PIMCO LOW DURATION INCOME FUND CL A",Cash,,0.000,,,,4.26,34.73,
01/02/2026,"DIVIDEND RECEIVED BNY MELLON ETF TRUST US LRG CP CORE (BKLC) (Cash)",BKLC,"BNY MELLON ETF TRUST US LRG CP CORE",Cash,,0.000,,,,10.84,30.47,



"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for"
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a"
"recommendation for any security or insurance product by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was"
"exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting"
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National"
"Financial Services LLC (NFS). Both are Fidelity Investment companies and members SIPC, NYSE. Insurance products at Fidelity are distributed by"
"Fidelity Insurance Agency, Inc., and, for certain products, by Fidelity Brokerage Services, Member NYSE, SIPC."

Date downloaded 05/11/2026 2:49 pm
